,id,M,A,stage,zscore,p.value,fdr
325,L2-2_Mam,0.110414825941428,9.82483158470686,oocyte,1.92388239032322,0.0543693270092936,0.0787204099531954
326,RLTR13D2,0.0559960294990334,11.7502130778791,oocyte,1.90161822734753,0.0572210832467805,0.0821700003915886
327,CR1-1_Amn,0.321173405474246,6.70945336562895,oocyte,1.90096641370342,0.0573064119716366,0.0821700003915886
328,LTR75,0.152954563931541,8.84756995750813,oocyte,1.89940768583775,0.0575108937353338,0.0823304098723217
329,LTR81C,0.156007684014374,8.78030822438854,oocyte,1.89268224064946,0.0584001395355159,0.0833350305731518
330,RLTR20B4_MM,0.0638072484041807,11.3380801279333,oocyte,1.87844492941355,0.0603203240505928,0.0857996289295631
331,RLTR48B,0.126783386023536,9.33603999322678,oocyte,1.86483901598684,0.0622039726228987,0.0881967012149234
332,RLTR18,0.0467115335991548,12.181382872077,oocyte,1.84202446699471,0.0654715710694318,0.0923876613979759
333,LTR90A,0.157425020128346,8.63288076764707,oocyte,1.81474312308722,0.0695633947011231,0.0980061139291576
334,RLTR20B1,0.0499231000215905,11.9246517678491,oocyte,1.80105139062758,0.0716947803362472,0.100531009020384
335,RLTR44A,0.0790447485699861,10.5969061409317,oocyte,1.79985302187019,0.0718838491892173,0.100637388864904
336,MLT1H1,0.04293857451285,12.3464013864654,oocyte,1.79291723021675,0.0729861598211425,0.102019962391503
337,MLT1J2,0.0427413317642005,12.3555572968479,oocyte,1.79035429178607,0.0733969734302736,0.102433138743349
338,LTR59,0.579746695351315,4.80643424864552,oocyte,1.77435184284705,0.076004970222093,0.105906612111976
339,MER70-int,0.156315454279958,8.56252508391138,oocyte,1.75854551337693,0.0786547345751189,0.109256342245751
340,MER87,0.239031686882114,7.32944044752394,oocyte,1.7539130358104,0.0794454095617678,0.109516329293448
341,MLT1O,0.0571894537488584,11.4068530244467,oocyte,1.72423539949743,0.0846653560080653,0.116333078038903
342,RLTR16C_MM,0.0564638518333949,11.4132522295302,oocyte,1.70613881539834,0.0879822371749139,0.12033262899769
343,RLTR10D2,0.0727485902183843,10.6304505809091,oocyte,1.6758601511867,0.0937655886865042,0.127849092549543
